单词,中文
just a minute,稍等片刻
take a look,看一看
cost,vt.值（多少钱），需付费
cheap,adj.便宜的
last,det.最近的；上一个的
hair clip,n.发卡，发夹
match,vt.&vi.与…相配，般配
pink,adj.粉红色的
pretty,adj.漂亮的，俊俏的
enough,足够（的），充分（的）
change,n.零头，找头
different from,与...不同
paper,n.纸
item,n.一件物品；项目
T-shirtT,恤衫，短袖汗衫
most,adv.（程度上）最大，最高
poor,adj.贫穷的；可怜的
area,n.地区
most,adv.（程度上）最大，最高
pocket,n.口袋
pocket money,n.零花钱
pair,n.对，双，副
a pair of,一双，一对，一副
size,n.尺码，大小
try on,试穿，试试看
fit,vi.&vt.适合，合身
expensive,adj.昂贵的
another,别的；不同的；又一，另一
price,n.价格，价钱
fit,vi.&vt.适合，合身
large,adj.大的；大型号的
note,n.笔记；便条
bus stop,n.公共汽车站
restaurant,n.餐馆
top,（位置、级别等）最高的
fashion,n.时装；时尚，风尚
think about,考虑
spend,vt.度过
lazy,adj.懒惰的
blouse,n.（女子的）短上衣，衬衫
tie,n.领带
lend,vt.借给
lady,n.女士，夫人
gentleman,n.（pl.gentlemen）先生
style,n.风格，样式
trainer,n.〈英〉运动鞋
comfortable,adj.舒适的，使人舒服的
popular,adj.受喜爱的，受欢迎的
among,在…中;在三者以上中分配
purple,adj.紫色的
grey,adj.灰色的
smart,adj.衣着讲究的；精干的
cool,adj.酷的，绝妙的
cotton,n.棉；棉织物
scarf,n.（pl.scarves）围巾
both,det.&pron两个（都）
jeans[,复]牛仔裤
silk,n.（蚕）丝；丝绸
wool,n.羊毛，羊绒
boot,n.靴子
both ... And ...,…和…都；不仅…而且…
be made of,由...制成
write to,写信给
wait for,等候
look for,寻找
lie,vt.躺，平放
go for sth,去从事，去参加
fit,adj.适合的
fit for,适合于
think of,认为；考虑
glove,n.手套
leather,n.皮革
soft,adj.柔软的，柔和的
smooth,adj.光滑的，平坦的
lovely,adj.可爱的,美丽的,极好地
hat,n.（通常指有檐的）帽子
jacket,n.夹克衫，短上衣
feature,n.特征
material,n.材料
design,n.设计；构思
model,n.模特；模型
dark,adj.昏暗的;深色的;暗色的
include,vt.包括，包含
palace,n.宫殿
next to,prep.紧邻
town,n.城镇
Canada,n.加拿大
France,n.法国
Japan,n.日本
Russia,n.俄罗斯
UK,（=United Kingdom）英国
London,n.伦敦
country,n.国家
capital,n.首都
mile,n.英里
garden,n.花园
flat,n.公寓
centre,n.中心
living room,n.客厅
share,vt.分享
share sth with sb,与某人合用/分享某物
bedroom,n.卧室
own,adj.自己的
bathroom,n.浴室
balcony,n.阳台
beach,n.海滩
sea,n.海
dining room,n.餐厅
zero,num.零
hundred,num.百
thousand,num.千
million,num.百万
foot,n. (pl. feet) 英尺
square,adj平方的
metre,n.米，公尺
area,n.面积
over,prep.超过
fork,n.餐叉
fridge,n.冰箱
knife,n. (pl. knives)刀
lamp,n.台灯
shower,n.淋浴
sofa,n.沙发
video,n.录像
be full of,充满
of one's own,某人自己的
some day,某天
may,modal v可以
message,n.消息，音信
take a message,传口信
call sb back,给某人回电
double,adj.双的
study,n.书房
machine,n.机器
washing machine,n. 洗衣机
at the foot of,在...脚下
field,n.田，地
football field,n. 足球场
invite,vt.邀请
stay,vi.停留
neighbour,n.邻居
wow,excl.哇
will,modal v.将
visitor,n.参观者
like,prep.像
waiter,n.服务员
neighbourhood,n.街区
helpful,adj.愿意帮忙的
volunteer,n.志愿者
community,n.社区
skill,n.技能
help sb with sth.,帮助某人解决某种困难
problem,n.问题
something,pron. 某事，某物
engineer,n.工程师
check,vt.检查
broken,adj.破碎的
someone,pron.某人
fix,vt.修理
anyone,prep.任何人
college,n.学院
do some shopping,买点东西
lucky,adj.幸运的
shall,modal v.将
the day after tomorrow,后天
fire,n.火
make a fire,生火
manager,n.经理
office,n.办公室
office worker,n. 办公室职员，上班族
policeman,n. (pl. policemen) 警察
postman,n. (pl. postmen) 邮递员
company,n.公司
station,n.局
police station,n. 警察局
post,n.邮政
post office,n.邮局
person,n.人
job,n.工作
elder,adj.年纪较长的
by train,乘火车
future,n.将来
artist,n.艺术家
sound,linking v.听起来
sick,adj.生病的
notice,n.通知
information,n.信息
below,adv.下面
better,(good/well的比较级) 更好
anything,pron.任何事
worry about,担心
design,vt.设计
group,n.组
mine,pron.我的
